rank,score,sector,business_name,city,location_detail,address,email,phone,website,instagram,type_style,size,fit_flag,notes,pipeline_stage,next_action,source_file
295,6,Ristorante,Café Lomi,New,,"3ter rue Marcadet, 75018 Paris",contact@cafelomi.com,+33 1 42 08 63 66,cafelomi.com,@cafelomi,Specialty Coffee / Torréfaction,Indipendente,✅ Sì,"Torréfacteur e caffè nel 18e, sacchi di caffè verde e atelier molto fotografato",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris_New.xlsx
296,6,Ristorante,Chez Yvonne,Strasbourg,Petite France,"10 rue du Sanglier, 67000 Strasbourg",contact@chez-yvonne.net,+33 3 88 32 84 15,chez-yvonne.net,@chezyvonne_strasbourg,Winstub / Alsacien,Indipendente,✅ Sì,"Winstub storico preferito di Jacques Chirac, décor alsacien autenticamente fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
297,6,Ristorante,Maison Kammerzell,Strasbourg,Grande Île,"16 place de la Cathédrale, 67000 Strasbourg",contact@maison-kammerzell.com,+33 3 88 32 42 14,maison-kammerzell.com,@maisonkammerzell,Alsacien / Gastronomique,Indipendente,✅ Sì,"Casa gotica rinascimentale del 1427, la più fotografata di Strasburgo",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
298,6,Ristorante,Le Tire-Bouchon,Strasbourg,Grande Île,"5 rue des Tailleurs de Pierre, 67000 Strasbourg",contact@letire-bouchon.fr,+33 3 88 22 16 32,letire-bouchon.fr,@letirebouchon_str,Winstub / Alsacien Moderne,Indipendente,✅ Sì,"Winstub con cucina alsaziana moderna, ambiente caldo e molto fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
299,6,Ristorante,Au Pont Corbeau,Strasbourg,Grande Île,"21 quai Saint-Nicolas, 67000 Strasbourg",contact@pontcorbeau.com,+33 3 88 35 60 68,pontcorbeau.com,@pontcorbeau_str,Winstub / Vue Canal,Indipendente,✅ Sì,"Winstub sul canale dell'Ill con vista sulle case alsaziane, terrasse fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
300,6,Ristorante,Café des Anges,Strasbourg,Krutenau,"5 rue Sainte-Catherine, 67000 Strasbourg",cafeanges.str@gmail.com,+33 3 88 37 12 67,,@cafedesanges_str,Café / Bar / Brunch,Indipendente,✅ Sì,"Caffè e bar bohémien nel Krutenau, terrasse animata e atmosfera studentesca",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
301,6,Ristorante,La Corde à Linge,Strasbourg,Grande Île,"2 place Benjamin Zix, 67000 Strasbourg",contact@lacordealinge.com,+33 3 88 21 02 05,lacordealinge.com,@lacordealinge,Winstub / Vue Petite France,Indipendente,✅ Sì,"Winstub nella Petite France con vista sui canali, terrasse iconicamente fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
302,6,Ristorante,Au Bain Marie,Strasbourg,Neustadt,"7 rue des Orfèvres, 67000 Strasbourg",aubainmarie.str@gmail.com,+33 3 88 23 55 34,,@aubainmarie_str,Épicerie Fine / Traiteur / Café,Indipendente,✅ Sì,"Épicerie fine e caffè con prodotti alsaziani, marmellate e terrines fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
303,6,Ristorante,Café Bretelles,Strasbourg,Krutenau,"24 rue du Faubourg de Pierre, 67000 Strasbourg",cafebretelles@gmail.com,+33 3 88 35 54 71,,@cafebretelles_str,Specialty Coffee / Brunch,Indipendente,✅ Sì,"Specialty coffee e brunch nel Krutenau, latte art e colazioni fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
304,6,Ristorante,L'Épicerie Strasbourg,Strasbourg,Grande Île,"6 rue du Vieux Marché aux Poissons, 67000 Strasbourg",epicerie.str@gmail.com,+33 3 88 32 09 32,,@epicerie_str,Épicerie / Vins / Traiteur,Indipendente,✅ Sì,"Épicerie fine in casa alsaziana, prodotti régionaux e décor charme fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
305,6,Ristorante,La Cambuse,Strasbourg,Petite France,"1 rue des Dentelles, 67000 Strasbourg",lacambuse.str@gmail.com,+33 3 88 22 15 22,,@lacambuse_str,Bar / Cave à Vins / Tapas,Indipendente,✅ Sì,"Cave à manger nella Petite France, muri di pietra e vini alsaziani fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
306,6,Ristorante,Le Festin de Babette,Strasbourg,Neustadt,"5 rue des Juifs, 67000 Strasbourg",festindebabette@gmail.com,+33 3 88 32 11 39,,@festindebabette_str,Bistro / Cuisine d'Exception,Indipendente,✅ Sì,"Bistrot gourmet in vicolo storico, menu ardesia e sala intima fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
307,6,Ristorante,L'Atelier du Goût,Strasbourg,Krutenau,"38 rue du Fossé des Treize, 67000 Strasbourg",ateliergoût.str@gmail.com,+33 3 88 36 95 10,,@atelierdugoût_str,Bistronomie / Créatif,Indipendente,✅ Sì,"Bistrot créatif nel Krutenau, presentazioni artistiche e vini naturali",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
308,6,Ristorante,Umami Strasbourg,Strasbourg,Neustadt,"8 rue des Francs-Bourgeois, 67000 Strasbourg",umami.str@gmail.com,+33 3 88 24 80 12,,@umami_str,Japanese / Asian Fusion,Indipendente,✅ Sì,"Cucina giapponese-asiatica nella Neustadt, ramen e bowls colorati fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
309,6,Ristorante,Ristorante Marco Polo,Strasbourg,Grande Île,"4 rue du Vieux Seigle, 67000 Strasbourg",marcopolo.str@gmail.com,+33 3 88 32 29 27,,@marcopolo_str,Italian / Trattoria,Indipendente,✅ Sì,"Trattoria italiana in vicolo medioevale, pizza nel forno a legna e décor rustico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
310,6,Ristorante,Le Table d'Étude,Strasbourg,Krutenau,"15 quai des Bateliers, 67000 Strasbourg",tabledetude@gmail.com,+33 3 88 36 22 17,,@tabledetude_str,Bistro / Vue Ill,Indipendente,✅ Sì,Bistrot con vista sull'Ill nel quartiere universitario Krutenau,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
311,6,Ristorante,Café Atlantico Strasbourg,Strasbourg,Neustadt,"12 blvd du Président Wilson, 67000 Strasbourg",atlantico.str@gmail.com,+33 3 88 22 54 32,,@cafeatlantico_str,Café / Latin / Brunch,Indipendente,✅ Sì,"Caffè latinoamericano e brunch colorato nella Neustadt, piante tropicali",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
312,6,Ristorante,La Hache à Maman,Strasbourg,Krutenau,"20 rue du Faubourg de Pierres, 67000 Strasbourg",lhacheamaman@gmail.com,+33 3 88 35 54 20,,@lhacheamaman_str,Burger Gourmet / Brunch,Indipendente,✅ Sì,"Burger gourmet e brunch nel Krutenau, brioche fotogeniche e ingredienti locaux",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
313,6,Ristorante,La Winstub de la Petite France,Strasbourg,Petite France,"5 rue du Bain aux Plantes, 67000 Strasbourg",winstubpetitefrce@gmail.com,+33 3 88 22 68 10,,@winstubpetitefrance,Winstub / Vue Canaux,Indipendente,✅ Sì,"Winstub con vista diretta sui canali e case a graticcio, angolo da cartolina",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
314,6,Ristorante,Les Haras Restaurant,Strasbourg,Grande Île,"23 rue des Glacières, 67000 Strasbourg",contact@les-haras.com,+33 3 88 24 00 00,les-haras.com,@lesharas_str,Brasserie / Lieu Patrimonial,Indipendente,✅ Sì,"Brasserie negli ex-haras imperiaux del 18° sec, archi e briques rouges fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
315,6,Ristorante,Umami Bio Strasbourg,Strasbourg,Neustadt,"22 rue de la Nuée Bleue, 67000 Strasbourg",umamibio.str@gmail.com,+33 3 88 23 67 45,,@umamibio_str,Healthy / Bio / Vegan,Indipendente,✅ Sì,"Cucina bio e vegan nel cuore della Neustadt, bowls arcobaleno fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
316,6,Ristorante,Comptoir de l'Ill,Strasbourg,Grande Île,"3 rue de l'Ill, 67000 Strasbourg",comptoirdell.str@gmail.com,+33 3 88 32 19 49,,@comptoirdell_str,Café / Brunch / Vue Canal,Indipendente,✅ Sì,"Caffè e brunch con vista sull'Ill, terrasse fiorita molto instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
317,6,Ristorante,Au Renard Prêchant,Strasbourg,Grande Île,"38 rue du Vieux Marché aux Vins, 67000 Strasbourg",renardprechant@gmail.com,+33 3 88 32 62 49,,@renardprechant_str,Bar à Vins / Cave,Indipendente,✅ Sì,"Bar à vins alsaziani in cantina del 17° sec, bottiglie a vista fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
318,6,Ristorante,La Petite Venise Alsacienne,Strasbourg,Petite France,"8 rue du Bain aux Plantes, 67000 Strasbourg",petitevenise.str@gmail.com,+33 3 88 24 00 23,,@petitevenise_str,Restaurant / Vue Canaux,Indipendente,✅ Sì,"Ristorante sulla piccola Venezia alsaziana, riflessi dei canali fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
319,6,Ristorante,Brasserie Gallia,Strasbourg,Krutenau,"15 quai Turckheim, 67000 Strasbourg",brasserie.gallia@gmail.com,+33 3 88 36 44 67,,@brasseriegallia_str,Craft Beer / Brasserie,Indipendente,✅ Sì,"Brasserie artigianale alsaziana con tour della fabbrica, pinte fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
320,6,Ristorante,Le Renommée,Strasbourg,Neustadt,"6 rue de la Division Leclerc, 67000 Strasbourg",larenommee.str@gmail.com,+33 3 88 32 78 91,,@larenommee_str,Café / Brasserie Art Nouveau,Indipendente,✅ Sì,"Brasserie stile Art Nouveau nella Neustadt, interni d'epoca fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
321,6,Ristorante,Kobus & Co,Strasbourg,Neustadt,"6 place de la République, 67000 Strasbourg",kobusandco@gmail.com,+33 3 88 32 91 30,,@kobusandco_str,Café / Brunch / Colorfull,Indipendente,✅ Sì,"Caffè e brunch sulla Place de la République, colazioni colorate e fotogeniche",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
322,6,Ristorante,L'Épicurien,Strasbourg,Krutenau,"27 quai des Pêcheurs, 67000 Strasbourg",lepicurien.str@gmail.com,+33 3 88 36 00 96,,@lepicurien_str,Bistro / Terasse Loire,Indipendente,✅ Sì,"Bistrot sul lungofiume con terrasse sul Ill, aperitivi al tramonto fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
323,6,Ristorante,Strasbourg by Night,Strasbourg,Grande Île,"12 place du Marché Gayot, 67000 Strasbourg",strasbourgbynight@gmail.com,+33 3 88 32 14 22,,@strasbourgbynight_str,Bar / Cocktails / Vue Cathédrale,Indipendente,✅ Sì,"Bar con terrasse con vista diretta sulla Cathédrale illuminata, foto iconica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
324,6,Ristorante,My Little Good,Strasbourg,Neustadt,"10 rue des Bouchers, 67000 Strasbourg",mylittlegood.str@gmail.com,+33 3 88 22 15 88,,@mylittlegood_str,Café / Brunch / Healthy,Indipendente,✅ Sì,"Caffè e brunch healthy nella Neustadt, composizioni floreali e bowl fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Strasbourg.xlsx
325,6,Ristorante,Le Bibent,Toulouse,Capitole,"5 place du Capitole, 31000 Toulouse",contact@lebibent.com,+33 5 61 23 89 03,lebibent.com,@lebibent_toulouse,Brasserie Belle Époque,Indipendente,✅ Sì,"Brasserie con interni Belle Époque magnifici, soffitti affrescati da fotografare",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
326,6,Ristorante,Sept,Toulouse,Saint-Étienne,"7 rue de l'Esquile, 31000 Toulouse",contact@sept-toulouse.fr,+33 5 61 25 20 01,sept-toulouse.fr,@sept_toulouse,Bistronomie Créative,Indipendente,✅ Sì,"Bistrot gastronomique nel quartiere Saint-Étienne, sala design e piatti artistici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
327,6,Ristorante,La Faim des Haricots,Toulouse,Carmes,"3 rue du Puits Vert, 31000 Toulouse",contact@faim-des-haricots.fr,+33 5 61 22 49 25,faim-des-haricots.fr,@faimdesharicots,Végétarien / Café,Piccola catena,✅ Sì,"Storico ristorante vegetariano di Tolosa, piatti colorati e atmosphere hippie-chic",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
328,6,Ristorante,Ô Saveurs,Toulouse,Saint-Cyprien,"6 rue Pharaon, 31300 Toulouse",contact@osaveurs.fr,+33 5 61 25 58 12,osaveurs.fr,@osaveurs_toulouse,Bistronomie / Créatif,Indipendente,✅ Sì,"Bistrot créatif nel quartiere Saint-Cyprien, menù ardesia e selezione vini",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
329,6,Ristorante,IOTH Coffee,Toulouse,Wilson,"5 rue du Taur, 31000 Toulouse",iothcoffee@gmail.com,+33 5 61 23 18 37,,@iothcoffee,Specialty Coffee,Indipendente,✅ Sì,"Specialty coffee vicino alla Basilica di Saint-Sernin, latte art molto fotografata",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
330,6,Ristorante,Café Populaire,Toulouse,Wilson,"7 rue du Poids de l'Huile, 31000 Toulouse",cafepopulaire.tlse@gmail.com,+33 5 61 23 64 52,,@cafepopulaire_toulouse,Café / Bar / Brunch,Indipendente,✅ Sì,"Caffè bobo nel centro, atmosfera parigina e terrasse animata",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
331,6,Ristorante,Nœud Pap',Toulouse,Saint-Cyprien,"12 rue de la Colombette, 31000 Toulouse",noeudpap.toulouse@gmail.com,+33 5 61 55 59 27,,@noeudpap_toulouse,Brunch / Café,Indipendente,✅ Sì,"Brunch trendy a Saint-Cyprien, uova bénédictine e french toast fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
332,6,Ristorante,L'Eau de Bouche,Toulouse,Carmes,"8 rue Saint-Antoine du T, 31000 Toulouse",leaudebouche@gmail.com,+33 5 61 21 08 08,,@leaudebouche_toulouse,Bistro / Wine Bar,Indipendente,✅ Sì,"Bar à vins e bistrot nel Carmes, planches e vins nature fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
333,6,Ristorante,Casa Camille,Toulouse,Centre,"30 rue des Filatiers, 31000 Toulouse",casacamille.toulouse@gmail.com,+33 5 61 22 40 45,,@casacamille_toulouse,Brunch / Café / Organic,Indipendente,✅ Sì,"Caffè bio e brunch nel centro storico, prodotti locali e interni caldi fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
334,6,Ristorante,Le Garçon Sauvage,Toulouse,Wilson,"12 rue Tolosane, 31000 Toulouse",garcon.sauvage@gmail.com,+33 5 61 21 99 54,,@legarcon_sauvage,Natural Wine Bar / Bistro,Indipendente,✅ Sì,Wine bar naturel con cucina créative nel quartiere Wilson,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
335,6,Ristorante,Le Genty-Magre,Toulouse,Capitole,"3 rue Genty-Magre, 31000 Toulouse",gentymafre@gmail.com,+33 5 61 21 38 60,,@gentym_toulouse,Wine / Oysters,Indipendente,✅ Sì,"Ostriche e vini naturali nella città vecchia, très photogénique",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
336,6,Ristorante,Ambroisie Toulouse,Toulouse,Carmes,"28 rue des Fleurs, 31000 Toulouse",ambroisie.tlse@gmail.com,+33 5 61 23 23 42,,@ambroisie_toulouse,Bistro / Gastronomique,Indipendente,✅ Sì,"Bistrot gastronomique nei Carmes, sala con muro di bottiglie fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
337,6,Ristorante,Taïko,Toulouse,Centre,"7 rue de la Colombette, 31000 Toulouse",taiko.toulouse@gmail.com,+33 5 61 99 48 72,,@taiko_toulouse,Japanese / Korean,Indipendente,✅ Sì,"Cucina giapponese e coreana moderna, bibimbap e ramen fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
338,6,Ristorante,Pane e Tradizione Toulouse,Toulouse,Wilson,"15 rue des Couteliers, 31000 Toulouse",paneetradizione.tlse@gmail.com,+33 5 61 21 76 54,,@paneetradizione_toulouse,Italian / Pizzeria,Indipendente,✅ Sì,"Pizzeria napoletana con forno a legna, impasto fotogenico al momento",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
339,6,Ristorante,Yummy Bowl,Toulouse,Centre,"32 rue Saint-Antoine du T, 31000 Toulouse",yummybowl.toulouse@gmail.com,+33 5 61 22 41 17,,@yummybowl_toulouse,Healthy / Bowls / Vegan,Indipendente,✅ Sì,"Bowls végétal e healthy colorate, apertura giovani, molto instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
340,6,Ristorante,Le Colombo,Toulouse,Saint-Cyprien,"3 rue de la Colombette, 31300 Toulouse",lecolombotoulouse@gmail.com,+33 5 61 59 27 93,,@lecolombo_toulouse,Indian / Créole,Indipendente,✅ Sì,"Cucina créole e spezie colorate, piatti vivaci e molto fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
341,6,Ristorante,Poivre Rose,Toulouse,Centre,"26 rue du Poids de l'Huile, 31000 Toulouse",poivrerose.toulouse@gmail.com,+33 5 61 21 79 75,,@poivrerose_toulouse,Bistro / Cuisine du Marché,Indipendente,✅ Sì,Piccolo bistrot nel centro con cucina di mercato e atmosfera intima,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
342,6,Ristorante,Chez Navarre,Toulouse,Capitole,"19 rue Croix-Baragnon, 31000 Toulouse",cheznavarre@gmail.com,+33 5 61 25 21 55,,@cheznavarre_toulouse,Cuisine du Marché,Indipendente,✅ Sì,"Cucina di mercato con lavagna quotidiana, sala intima e fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
343,6,Ristorante,Le Quai Toulouse,Toulouse,Saint-Cyprien,"Quai de la Daurade, 31000 Toulouse",contact@lequai-toulouse.fr,+33 5 61 32 66 44,,@lequai_toulouse,Restaurant / Vue Garonne,Indipendente,✅ Sì,Ristorante sul lungofiume con vista sul Pont Neuf e Garonna rosa,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
344,6,Ristorante,Le Père Léon,Toulouse,Carmes,"2 place de la Trinité, 31000 Toulouse",lepere.leon@gmail.com,+33 5 61 25 04 98,,@pereleontoulouse,Brasserie / Terrasse,Indipendente,✅ Sì,Brasserie sulla pittoresca Place de la Trinité nei Carmes,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
345,6,Ristorante,Le Cénit,Toulouse,Purpan,"1 ave Jean Gonord, 31000 Toulouse",contact@lecenittoulouse.fr,+33 5 62 71 83 00,,@lecenittoulouse,Restaurant / Panoramique,Indipendente,✅ Sì,"Ristorante con vista panoramica sulla città rosa, tramonto fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
346,6,Ristorante,Dario Toulouse,Toulouse,Carmes,"26 rue des Filatiers, 31000 Toulouse",dario.toulouse@gmail.com,+33 5 61 55 28 41,,@dario_toulouse,Italian Fine Dining,Indipendente,✅ Sì,"Ristorante italiano fine dining nei Carmes, piatti elaborati e fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
347,6,Ristorante,Le Bon Vivre Toulouse,Toulouse,Côte Pavée,"15 ave de la Colonne, 31400 Toulouse",lebonvivre.tlse@gmail.com,+33 5 61 52 35 10,,@lebonvivre_toulouse,Bistro / Brunch,Indipendente,✅ Sì,Bistrot e brunch nel quartiere residenziale Côte Pavée,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
348,6,Ristorante,Le Sherpa Café,Toulouse,Saint-Sernin,"46 rue du Taur, 31000 Toulouse",lesherpa.toulouse@gmail.com,+33 5 61 23 22 47,,@lesherpa_toulouse,Café / Bar Alternatif,Indipendente,✅ Sì,"Caffè alternativo vicino all'università, murales e atmosfera colorata",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
349,6,Ristorante,Toulouse & Co Café,Toulouse,Centre,"23 rue des Lois, 31000 Toulouse",toulouseandco@gmail.com,+33 5 61 21 00 89,,@toulouseandco,Café / Brunch / Local,Indipendente,✅ Sì,"Caffè e brunch con prodotti locali e toulousains, atmosfera accogliente",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
350,6,Ristorante,Le Sauvage Toulouse,Toulouse,Carmes,"18 rue de la Dalbade, 31000 Toulouse",lesauvage.toulouse@gmail.com,+33 5 61 22 88 14,,@lesauvage_toulouse,Natural Wine Bar,Indipendente,✅ Sì,Wine bar naturel con selezione di produttori locaux e atmosfera cave,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
351,6,Ristorante,Oh! Poivrier,Toulouse,Wilson,"1 place Wilson, 31000 Toulouse",ohpoivrier.tlse@gmail.com,+33 5 61 21 33 22,,@ohpoivrier_toulouse,Brunch / Café / Épices,Indipendente,✅ Sì,"Caffè e brunch in Place Wilson, spezie colorate e piatti créatifs",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
352,6,Ristorante,Le Bon Marché Toulouse,Toulouse,Saint-Aubin,"12 rue Gabriel Péri, 31400 Toulouse",lebonmarche.tlse@gmail.com,+33 5 61 53 12 30,,@lebonmarche_toulouse,Café / Coworking / Brunch,Indipendente,✅ Sì,Café coworking con brunch healthy nel quartiere Saint-Aubin,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Toulouse.xlsx
353,6,Ristorante,Vogel Kaffee,Vienna,,"Bruno-Marek-Allee 19, 1020 Wien",hello@vogelkaffee.at,+43 660 6307479,vogelkaffee.at,@vogelkaffee,Specialty Coffee / Micro-Roastery,Indipendente,✅ Sì,"Micro-torrefazione speciality nel 2. distretto, molto instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Vienna.xlsx
354,6,Ristorante,Café Ansari,Vienna,,"Praterstraße 15, 1020 Wien",cafe@cafeansari.at,+43 1 2765102,cafeansari.at,@cafeansari,Café / Fusion,Indipendente,✅ Sì,"Café trendy bohémien nel 2. distretto, cucina creativa",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Vienna.xlsx
355,6,Ristorante,Bali Brunch,Vienna,,"Lerchenfelderstraße 1-3 (25hours Hotel), 1070 Wien",balibrunch@gmail.com,+43 677 64066513,balibrunch.at,@bali_brunch,Brunch / Asian-Inspired,Indipendente,✅ Sì,"Brunch ispirato a Bali sulla rooftop del 25hours Hotel, 45K follower IG",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Vienna.xlsx
356,6,Ristorante,Café Drechsler,Vienna,,"Linke Wienzeile 22, 1060 Wien",office@drechsler-wien.at,+43 676 5962730,drechsler-wien.at,@drechsler_wienzeile,Café / Wiener Kaffeehaus,Indipendente,✅ Sì,"Storico caffè viennese moderno al Naschmarkt, interior design iconico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Vienna.xlsx
